worker_id,platform,worker_type,location,age,experience_months,working_hours,daily_income,avg_daily_distance_km,weather_risk,traffic_risk,area_risk,night_work_ratio,historical_incidents,safety_score,days_active_last_30,previous_claims,avg_trip_duration_min,risk_score,risk_level,recommended_premium
W01198,Amazon,Courier,Thane,36,65,12.6,1600.0,126.2,0.3,0.607,0.226,0.059,4,0.423,21,0,16.9,0.4893,MEDIUM,13.64
W01199,Zepto,Quick_Commerce,Delhi,26,21,11.6,806.0,52.8,0.278,0.202,0.53,0.26,1,0.637,10,0,27.3,0.3797,MEDIUM,9.88
W01200,Blinkit,Quick_Commerce,Navi_Mumbai,33,90,12.0,1233.0,53.5,0.201,0.725,0.339,0.159,2,0.625,13,0,29.8,0.4285,MEDIUM,12.61
W01201,Amazon,Delivery,Navi_Mumbai,18,22,5.0,1607.0,169.0,0.121,0.596,0.342,0.442,0,0.762,26,0,25.8,0.4135,MEDIUM,11.09
W01202,Ola,Delivery,Hyderabad,29,9,8.0,1296.0,106.9,0.11,0.177,0.079,0.451,0,0.735,25,1,13.3,0.2702,LOW,10.04
W01203,Amazon,Delivery,Pune,51,82,7.4,1230.0,143.4,0.206,0.362,0.535,0.091,0,0.785,12,1,43.3,0.3798,MEDIUM,11.01
W01204,Zepto,Courier,Thane,21,75,6.6,1403.0,116.2,0.128,0.417,0.068,0.395,1,0.589,17,0,13.3,0.3312,MEDIUM,11.41
W01205,Blinkit,Ride_Hailing,Thane,51,50,5.3,582.0,101.1,0.329,0.613,0.311,0.204,1,,20,0,28.2,0.3937,MEDIUM,10.49
W01206,Amazon,Ride_Hailing,Thane,39,80,4.4,635.0,10.2,0.444,0.647,0.433,0.065,0,0.926,16,0,22.6,0.3419,MEDIUM,8.43
W01207,Ola,Ride_Hailing,Bengaluru,30,70,11.7,1195.0,42.3,0.228,0.498,0.49,0.269,0,0.665,12,0,47.4,0.3933,MEDIUM,10.59
W01208,Zepto,Delivery,Delhi,35,17,8.3,1031.0,107.8,0.374,,0.24,0.19,0,0.908,9,0,28.2,0.3777,MEDIUM,11.06
W01209,Zomato,Delivery,Thane,51,40,9.0,991.0,53.3,0.335,0.197,0.162,0.114,0,0.698,30,0,34.1,0.2717,LOW,8.66
W01210,Amazon,Ride_Hailing,Pune,22,89,5.6,1533.0,79.8,0.309,0.542,0.309,0.263,0,0.793,17,1,15.0,0.3598,MEDIUM,11.86
W01211,Blinkit,Ride_Hailing,Pune,39,66,12.4,1503.0,116.9,0.465,0.111,0.608,0.478,0,0.919,6,0,15.8,0.4535,MEDIUM,12.18
W01212,Zepto,Quick_Commerce,Mumbai,28,60,12.4,778.0,89.7,0.311,0.4,0.424,0.128,2,0.788,5,0,27.6,0.4169,MEDIUM,9.73
W01213,Ola,Quick_Commerce,Hyderabad,38,18,9.7,1255.0,99.0,0.098,,0.24,0.202,0,1.0,16,0,14.7,0.26,LOW,10.58
W01214,Amazon,Ride_Hailing,Bengaluru,47,52,6.2,552.0,133.6,0.381,0.424,0.473,0.118,1,0.493,7,1,28.3,0.4444,MEDIUM,10.88
W01215,Swiggy,Quick_Commerce,Pune,53,16,5.3,544.0,137.0,0.526,0.544,0.211,0.158,2,0.591,10,1,26.2,0.458,MEDIUM,12.96
W01216,Swiggy,Delivery,Bengaluru,27,65,9.0,788.0,83.0,0.112,0.386,0.249,0.151,1,0.595,28,1,39.0,0.3188,LOW,9.96
W01217,Ola,Quick_Commerce,Mumbai,43,22,11.3,1081.0,129.6,0.242,0.254,0.143,0.047,1,0.629,5,0,36.3,0.3358,MEDIUM,10.46
W01218,Zepto,Quick_Commerce,Hyderabad,34,28,12.7,871.0,51.4,0.28,0.412,0.356,0.588,0,0.886,9,0,24.5,0.3938,MEDIUM,11.03
W01219,Zepto,Delivery,Delhi,37,56,3.7,1258.0,92.9,0.205,0.509,0.255,0.081,0,0.779,22,0,22.9,0.2966,LOW,11.07
W01220,Ola,Delivery,Hyderabad,24,3,6.3,1095.0,104.8,0.408,0.387,0.249,0.255,1,0.765,8,0,18.6,0.3795,MEDIUM,10.85
W01221,Blinkit,Delivery,Hyderabad,50,68,6.9,1490.0,81.3,0.329,0.451,0.699,0.095,1,0.622,9,2,21.6,0.4352,MEDIUM,12.09
W01222,Ola,Delivery,Delhi,24,43,6.7,1291.0,77.2,0.528,0.472,0.194,0.457,1,0.915,22,0,8.0,0.4078,MEDIUM,10.93
W01223,Amazon,Ride_Hailing,Navi_Mumbai,19,50,9.7,737.0,45.8,0.49,0.173,0.48,0.17,0,0.812,30,0,23.6,0.356,MEDIUM,9.79
W01224,Blinkit,Delivery,Delhi,46,72,8.5,1415.0,83.8,0.637,0.431,0.215,0.13,1,0.575,30,0,36.0,0.4326,MEDIUM,12.61
W01225,Uber,Quick_Commerce,Pune,33,74,11.9,798.0,28.7,0.25,0.28,0.613,0.305,1,0.362,5,0,23.4,0.4158,MEDIUM,11.18
W01226,Amazon,Delivery,Navi_Mumbai,20,89,5.2,1244.0,80.3,0.271,0.565,0.142,0.261,3,0.887,10,0,33.5,0.3574,MEDIUM,10.58
W01227,Swiggy,Delivery,Delhi,43,18,7.0,928.0,87.1,,0.483,0.396,0.168,1,0.798,21,0,18.2,0.3782,MEDIUM,11.25
W01228,Amazon,Delivery,Hyderabad,28,42,8.4,1563.0,111.1,0.444,0.183,0.246,0.221,1,0.592,27,0,19.8,0.3781,MEDIUM,11.21
W01229,Zomato,Delivery,Thane,55,10,11.2,1356.0,43.8,0.474,0.65,0.303,0.202,0,0.664,28,0,45.2,0.4308,MEDIUM,11.12
W01230,Uber,Courier,Pune,55,26,11.2,858.0,96.9,0.35,0.264,0.326,0.221,1,0.779,28,0,35.8,0.3807,MEDIUM,10.61
W01231,Zepto,Delivery,Bengaluru,38,53,11.6,965.0,104.9,0.253,0.196,0.197,0.368,0,0.683,6,0,31.7,0.3432,MEDIUM,11.44
W01232,Zepto,Delivery,Navi_Mumbai,36,13,8.2,2244.0,84.2,0.103,0.584,0.308,0.251,0,1.0,27,0,39.2,0.3241,LOW,12.56
W01233,Amazon,Delivery,Navi_Mumbai,34,43,5.4,659.0,100.7,0.216,0.519,0.354,0.317,1,0.653,12,0,35.5,0.3876,MEDIUM,9.13
W01234,Zepto,Delivery,Mumbai,41,90,10.3,848.0,94.4,0.25,0.655,0.11,0.192,0,0.808,15,0,38.5,0.3627,MEDIUM,10.57
W01235,Blinkit,Ride_Hailing,Navi_Mumbai,52,7,12.5,865.0,10.0,0.373,0.801,0.581,0.123,1,0.656,23,0,36.4,0.4738,MEDIUM,11.18
W01236,Uber,Quick_Commerce,Delhi,42,23,5.9,694.0,52.7,0.358,0.615,0.411,0.724,0,0.617,8,0,21.2,0.4554,MEDIUM,12.23
W01237,Swiggy,Delivery,Hyderabad,21,28,5.0,731.0,160.0,0.451,0.4,0.162,0.316,0,0.731,30,0,22.2,0.3998,MEDIUM,12.18
W01238,Swiggy,Ride_Hailing,Pune,25,88,3.2,1062.0,108.0,0.312,0.25,0.775,0.119,0,0.71,16,0,18.2,0.384,MEDIUM,11.67
W01239,Uber,Ride_Hailing,Navi_Mumbai,41,71,9.7,1267.0,63.9,0.375,0.64,0.507,0.158,0,0.636,8,0,12.3,0.4443,MEDIUM,11.56
W01240,Swiggy,Courier,Bengaluru,32,18,8.5,542.0,97.8,0.564,0.558,0.661,0.436,2,0.79,30,0,26.7,0.5625,MEDIUM,12.76
W01241,Ola,Ride_Hailing,Thane,36,68,4.3,924.0,109.9,0.547,0.525,0.258,0.193,0,0.593,24,0,13.6,0.4189,MEDIUM,11.49
W01242,Zepto,Delivery,Thane,33,2,5.0,819.0,138.9,0.576,0.344,0.288,0.358,1,0.492,18,0,27.8,0.464,MEDIUM,12.7
W01243,Amazon,Quick_Commerce,Pune,40,77,9.6,690.0,71.4,0.356,0.736,0.097,0.185,0,0.656,21,1,22.1,0.3896,MEDIUM,8.69
W01244,Ola,Quick_Commerce,Bengaluru,26,22,7.4,1449.0,64.1,0.513,0.397,0.36,0.063,0,0.787,28,0,21.9,0.3658,MEDIUM,10.53
W01245,Amazon,Ride_Hailing,Thane,20,69,5.3,832.0,67.6,0.22,0.482,0.167,0.24,0,0.659,29,0,31.1,0.3017,LOW,11.01
W01246,Amazon,Courier,Mumbai,26,48,9.1,621.0,65.0,0.566,0.3,0.403,0.26,1,0.449,22,0,17.3,0.4443,MEDIUM,9.46
W01247,Amazon,Courier,Bengaluru,43,71,3.5,1408.0,63.8,0.375,0.85,0.285,0.384,0,0.546,21,1,26.8,0.4351,MEDIUM,12.37
W01248,Ola,Delivery,Delhi,41,34,3.2,1538.0,91.6,0.25,0.177,0.131,0.08,0,0.841,28,1,27.5,0.2152,LOW,9.74
W01249,Uber,Quick_Commerce,Delhi,48,51,5.6,1183.0,70.3,0.457,0.657,0.278,0.603,2,0.793,25,0,16.9,0.47,MEDIUM,13.49
W01250,Amazon,Ride_Hailing,Navi_Mumbai,22,88,5.9,771.0,82.8,0.591,0.319,0.333,0.097,1,0.729,23,0,16.5,0.3892,MEDIUM,10.17
W01251,Zomato,Ride_Hailing,Mumbai,23,78,4.0,1003.0,150.5,0.423,0.349,0.27,0.173,0,0.643,5,1,26.7,0.3808,MEDIUM,11.12
W01252,Uber,Ride_Hailing,Navi_Mumbai,22,53,4.1,871.0,51.5,0.689,0.63,0.337,0.032,0,0.708,17,0,47.8,0.4145,MEDIUM,10.38
W01253,Swiggy,Courier,Pune,39,89,4.7,1083.0,96.8,,0.295,0.229,0.222,0,0.562,23,1,12.0,0.2774,LOW,10.23
W01254,Zepto,Ride_Hailing,Pune,39,12,10.2,1351.0,45.3,0.504,0.576,0.017,0.248,1,1.0,11,0,20.9,0.3596,MEDIUM,11.38
W01255,Blinkit,Ride_Hailing,Hyderabad,24,68,11.1,1091.0,117.4,0.736,0.554,0.435,0.432,0,0.62,10,0,22.1,0.5744,MEDIUM,14.02
W01256,Swiggy,Delivery,Thane,35,61,4.8,1099.0,124.2,0.45,0.771,0.026,0.235,4,0.791,30,2,16.7,0.4582,MEDIUM,12.35
W01257,Zomato,Ride_Hailing,Navi_Mumbai,19,25,9.6,920.0,54.6,0.093,0.788,0.298,0.104,0,1.0,7,1,38.9,0.3288,LOW,10.21
W01258,Ola,Courier,Thane,41,38,5.3,1333.0,60.6,0.108,0.618,0.767,0.393,1,0.738,24,1,40.3,0.4309,MEDIUM,12.98
W01259,Ola,Quick_Commerce,Pune,39,39,11.8,1229.0,108.3,0.754,0.62,0.696,0.599,0,1.0,13,0,20.5,0.6255,MEDIUM,15.08
W01260,Zepto,Delivery,Bengaluru,19,66,5.7,457.0,75.4,0.54,0.134,0.398,0.375,0,0.697,29,1,20.0,0.3721,MEDIUM,9.7
W01261,Zomato,Courier,Hyderabad,21,60,4.3,476.0,134.6,0.344,0.686,0.334,0.568,1,1.0,22,0,39.9,0.4598,MEDIUM,11.64
W01262,Amazon,Quick_Commerce,Thane,44,76,7.4,984.0,42.9,0.564,0.618,0.457,0.085,0,0.661,12,1,23.6,0.4328,MEDIUM,11.44
W01263,Ola,Ride_Hailing,Pune,52,64,4.5,1440.0,122.7,0.122,0.247,0.409,0.195,0,0.687,9,0,18.4,0.3052,LOW,11.02
W01264,Zepto,Delivery,Bengaluru,50,95,5.0,1508.0,163.3,0.502,0.049,0.057,0.563,0,0.875,19,0,35.1,0.3493,MEDIUM,11.92
W01265,Zomato,Ride_Hailing,Mumbai,39,80,6.4,1367.0,98.7,0.648,0.273,0.175,0.344,0,0.557,12,1,38.5,0.4084,MEDIUM,13.02
W01266,Swiggy,Delivery,Delhi,37,56,9.6,1047.0,62.7,0.373,0.454,0.274,0.437,0,0.841,15,1,18.5,0.3841,MEDIUM,9.96
W01267,Swiggy,Delivery,Mumbai,48,2,4.2,1613.0,57.8,0.395,0.642,0.206,0.145,1,0.423,10,0,12.6,0.3836,MEDIUM,11.91
W01268,Uber,Ride_Hailing,Mumbai,49,36,5.8,847.0,79.3,0.298,0.252,0.463,0.229,1,0.74,11,0,29.5,0.3481,MEDIUM,11.19
W01269,Amazon,Courier,Mumbai,52,13,11.6,981.0,108.7,0.143,0.277,0.093,0.393,0,0.804,15,0,24.6,0.3107,LOW,10.73
W01270,Swiggy,Delivery,Hyderabad,33,42,5.7,603.0,32.7,0.512,0.289,0.063,0.303,0,0.606,21,1,19.8,0.3037,LOW,10.26
W01271,Uber,Courier,Delhi,36,96,4.7,979.0,74.2,0.274,0.784,0.183,0.425,1,0.614,18,1,17.2,0.411,MEDIUM,11.56
W01272,Swiggy,Courier,Bengaluru,20,39,8.3,798.0,89.6,0.67,0.154,0.724,0.02,2,0.823,22,0,29.7,0.4651,MEDIUM,12.77
W01273,Amazon,Delivery,Delhi,24,79,3.3,1638.0,139.4,0.066,0.403,0.34,0.342,1,,8,0,17.9,0.3533,MEDIUM,11.36
W01274,Blinkit,Delivery,Bengaluru,32,44,11.0,1569.0,150.2,0.22,0.125,0.514,0.402,0,0.6,7,0,25.1,0.4171,MEDIUM,13.32
W01275,Zepto,Quick_Commerce,Pune,48,56,5.2,1122.0,80.4,0.393,0.846,0.508,0.481,2,0.581,7,0,25.5,0.5377,MEDIUM,13.32
W01276,Blinkit,Quick_Commerce,Bengaluru,34,3,4.3,1263.0,46.2,0.487,0.448,0.301,0.361,1,0.623,19,0,30.7,0.3889,MEDIUM,11.86
W01277,Blinkit,Ride_Hailing,Mumbai,40,67,11.1,889.0,,0.253,0.407,0.174,0.289,3,1.0,20,0,37.9,0.3709,MEDIUM,11.11
W01278,Zepto,Quick_Commerce,Delhi,50,24,11.4,350.0,91.2,0.903,0.723,0.703,0.138,1,0.824,30,0,25.2,0.6368,MEDIUM,12.58
W01279,Swiggy,Ride_Hailing,Bengaluru,36,45,10.3,833.0,126.5,0.353,0.229,0.341,0.348,2,0.758,25,0,12.9,0.4224,MEDIUM,10.14
W01280,Amazon,Quick_Commerce,Hyderabad,30,95,5.3,1362.0,69.5,0.171,0.624,0.409,0.141,0,0.801,19,0,41.4,0.3381,MEDIUM,11.28
W01281,Zepto,Quick_Commerce,Navi_Mumbai,45,22,8.3,1253.0,50.4,0.505,0.268,0.38,0.378,0,0.641,27,2,8.0,0.3908,MEDIUM,11.34
W01282,Zepto,Delivery,Thane,29,90,12.7,963.0,84.6,0.264,0.273,0.599,0.311,1,0.516,5,0,22.8,0.4415,MEDIUM,12.11
W01283,Uber,Delivery,Bengaluru,32,80,7.8,1359.0,73.1,0.155,0.42,0.53,0.474,1,0.695,16,0,20.9,0.4011,MEDIUM,11.83
W01284,Zepto,Delivery,Mumbai,51,5,12.5,935.0,72.2,0.25,0.298,0.168,0.343,0,0.948,30,0,38.7,0.3123,LOW,9.77
W01285,Uber,Courier,Bengaluru,34,36,9.8,700.0,54.6,0.653,0.448,0.225,0.463,0,0.86,12,1,27.9,0.4333,MEDIUM,10.9
W01286,Swiggy,Courier,Delhi,27,95,11.4,1359.0,41.1,0.425,0.304,0.168,0.456,1,0.545,27,0,28.0,0.387,MEDIUM,12.0
W01287,Amazon,Quick_Commerce,Delhi,49,44,4.9,886.0,106.4,0.467,0.11,0.239,0.259,2,0.728,29,0,23.9,0.35,MEDIUM,11.45
W01288,Zomato,Delivery,Navi_Mumbai,42,77,12.3,1459.0,94.2,0.197,0.351,0.708,0.264,1,0.766,28,0,17.8,0.4412,MEDIUM,12.59
W01289,Swiggy,Ride_Hailing,Mumbai,47,89,11.5,401.0,56.9,0.242,0.693,0.307,0.122,1,0.622,13,0,14.8,0.4067,MEDIUM,10.09
W01290,Blinkit,Delivery,Delhi,30,1,10.9,901.0,113.7,0.436,0.163,0.413,0.269,1,0.811,20,0,30.8,0.4095,MEDIUM,11.2
W01291,Zomato,Delivery,Navi_Mumbai,47,71,12.4,1309.0,20.5,0.175,0.728,0.208,0.237,0,0.889,11,1,22.7,0.338,MEDIUM,9.45
W01292,Amazon,Delivery,Navi_Mumbai,54,88,10.9,1273.0,70.7,0.249,0.782,0.163,0.233,1,0.473,13,0,27.2,0.4288,MEDIUM,12.21
W01293,Ola,Quick_Commerce,Thane,24,56,8.8,1023.0,92.5,0.227,0.635,0.804,0.388,0,0.916,13,0,25.4,0.4826,MEDIUM,11.35
W01294,Swiggy,Delivery,Navi_Mumbai,25,93,9.5,1201.0,123.8,0.171,0.167,0.475,0.031,1,0.618,28,0,28.6,0.3473,MEDIUM,11.65
W01295,Amazon,Quick_Commerce,Bengaluru,39,68,11.2,1149.0,65.6,0.442,0.529,0.156,0.192,0,0.642,5,0,32.9,0.3906,MEDIUM,10.17
W01296,Ola,Courier,Hyderabad,45,61,10.5,579.0,124.3,0.207,0.356,0.342,0.505,0,1.0,28,1,32.4,0.3846,MEDIUM,8.51
W01297,Zomato,Quick_Commerce,Navi_Mumbai,18,12,8.9,973.0,62.2,0.393,0.434,0.336,0.131,0,0.701,10,0,18.2,0.3655,MEDIUM,10.58
W01298,Blinkit,Delivery,Mumbai,38,76,9.0,1180.0,113.8,0.41,0.448,0.523,0.19,1,0.777,17,0,26.5,0.4555,MEDIUM,13.39
W01299,Ola,Courier,Mumbai,22,83,11.8,1277.0,143.9,0.301,0.9,0.36,0.317,0,0.693,23,0,31.1,0.5302,MEDIUM,12.45
W01300,Swiggy,Quick_Commerce,Thane,55,32,3.1,1077.0,50.0,0.009,0.545,0.209,0.166,0,0.455,16,0,18.4,0.2552,LOW,9.12
W01301,Zepto,Ride_Hailing,Mumbai,45,16,10.2,907.0,90.3,0.741,0.388,0.597,0.398,0,1.0,23,1,37.4,0.5163,MEDIUM,12.14
W01302,Uber,Quick_Commerce,Delhi,55,55,8.7,633.0,103.9,0.257,0.505,0.67,0.516,1,0.477,21,0,29.0,0.5131,MEDIUM,11.72
W01303,Blinkit,Courier,Delhi,26,91,11.4,1363.0,41.5,0.348,0.399,0.45,0.437,0,0.892,18,1,14.9,0.3941,MEDIUM,12.46
W01304,Amazon,Ride_Hailing,Bengaluru,48,71,5.1,1325.0,100.1,0.394,0.631,0.367,0.221,0,0.574,5,0,40.1,0.4277,MEDIUM,12.44
W01305,Blinkit,Ride_Hailing,Navi_Mumbai,32,78,8.3,1446.0,65.2,0.109,0.118,0.498,0.236,0,0.721,22,0,13.8,0.2843,LOW,9.73
W01306,Blinkit,Ride_Hailing,Bengaluru,21,54,4.3,723.0,55.5,0.17,0.225,0.312,0.602,0,0.832,12,0,27.5,0.2854,LOW,8.47
W01307,Zomato,Delivery,Thane,36,41,9.6,1143.0,70.2,0.516,0.381,0.32,0.124,0,0.804,20,1,18.3,0.3811,MEDIUM,11.5
W01308,Zomato,Quick_Commerce,Thane,35,30,10.6,858.0,67.6,0.518,0.434,0.456,0.379,1,0.695,16,0,21.8,0.4738,MEDIUM,13.03
W01309,Uber,Delivery,Hyderabad,37,78,9.2,1116.0,113.0,0.081,0.277,0.136,0.309,0,0.42,12,0,29.1,0.3123,LOW,11.01
W01310,Zepto,Ride_Hailing,Hyderabad,50,63,8.5,2117.0,85.0,0.794,0.184,0.123,0.045,0,0.716,8,0,22.7,0.3714,MEDIUM,12.85
W01311,Ola,Ride_Hailing,Delhi,28,72,6.4,1416.0,165.9,0.311,0.431,0.232,0.07,0,0.713,12,0,29.5,0.3724,MEDIUM,10.83
W01312,Uber,Delivery,Delhi,42,81,9.4,836.0,66.2,0.235,0.669,0.385,0.81,0,0.94,16,0,33.6,0.4502,MEDIUM,11.33
W01313,Zepto,Ride_Hailing,Delhi,25,95,12.0,1012.0,101.6,0.093,0.302,0.653,0.06,0,1.0,27,1,41.1,0.3473,MEDIUM,11.25
W01314,Zepto,Ride_Hailing,Bengaluru,51,81,10.2,973.0,79.7,0.102,0.969,0.222,0.13,2,,14,0,30.3,0.427,MEDIUM,11.37
W01315,Amazon,Delivery,Thane,35,43,3.2,1143.0,40.3,0.31,0.711,0.685,0.686,0,0.819,24,3,27.8,0.4645,MEDIUM,13.43
W01316,Uber,Delivery,Mumbai,48,13,8.1,567.0,140.7,0.098,0.831,0.482,0.088,1,0.551,17,0,8.6,0.4662,MEDIUM,10.95
W01317,Blinkit,Courier,Thane,28,54,10.4,1213.0,89.2,0.523,0.723,0.467,0.15,0,0.581,28,2,18.2,0.5096,MEDIUM,14.34
W01318,Blinkit,Courier,Navi_Mumbai,29,43,8.0,359.0,57.7,0.332,0.6,0.352,0.282,1,0.756,22,0,29.7,0.4036,MEDIUM,12.31
W01319,Ola,Ride_Hailing,Thane,55,90,8.9,515.0,99.0,0.28,0.743,0.438,0.081,2,0.856,13,0,28.1,0.4488,MEDIUM,10.5
W01320,Uber,Delivery,Pune,25,4,12.1,1801.0,121.2,0.403,0.795,0.224,0.073,0,0.363,7,0,19.3,0.4926,MEDIUM,12.78
W01321,Swiggy,Delivery,Mumbai,39,83,11.7,974.0,55.3,0.153,0.63,0.403,0.283,0,0.824,12,0,21.5,0.3825,MEDIUM,11.27
W01322,Zomato,Delivery,Delhi,30,61,3.8,1599.0,86.8,0.521,0.34,0.205,0.546,0,0.788,18,0,33.0,0.3784,MEDIUM,12.2
W01323,Ola,Ride_Hailing,Delhi,32,7,8.1,816.0,121.4,0.433,0.778,0.138,0.212,0,0.753,28,1,46.7,0.4403,MEDIUM,10.45
W01324,Amazon,Courier,Mumbai,44,24,9.2,364.0,90.8,0.13,0.196,0.171,0.331,0,0.675,15,0,37.6,0.2822,LOW,7.9
W01325,Amazon,Quick_Commerce,Navi_Mumbai,47,6,11.5,732.0,104.4,0.127,0.08,0.138,0.392,0,0.682,16,1,28.7,0.2859,LOW,8.83
W01326,Zomato,Delivery,Pune,36,90,5.7,2041.0,75.8,0.352,0.447,0.158,0.422,1,0.633,28,0,37.7,0.3689,MEDIUM,12.77
W01327,Blinkit,Courier,Mumbai,42,62,4.4,606.0,29.9,0.12,0.54,0.396,0.33,3,0.491,27,0,11.8,0.3665,MEDIUM,10.36
W01328,Swiggy,Ride_Hailing,Delhi,19,60,9.0,1722.0,76.2,0.174,0.831,0.466,0.358,1,0.819,29,0,28.2,0.454,MEDIUM,13.67
W01329,Blinkit,Delivery,Bengaluru,26,50,7.7,1221.0,65.4,0.662,0.585,0.128,0.423,1,0.897,10,0,8.0,0.4419,MEDIUM,12.52
W01330,Uber,Ride_Hailing,Navi_Mumbai,46,39,5.6,1142.0,81.2,0.307,0.858,0.36,0.079,0,0.598,15,0,11.8,0.4199,MEDIUM,11.47
W01331,Ola,Delivery,Mumbai,43,17,12.4,838.0,65.8,0.348,0.415,0.293,0.312,1,0.827,7,1,8.0,0.3931,MEDIUM,9.58
W01332,Zepto,Courier,Pune,19,71,6.2,785.0,91.0,0.423,0.225,0.273,0.489,0,0.57,22,1,22.6,0.3778,MEDIUM,11.36
W01333,Uber,Delivery,Hyderabad,51,13,3.6,1297.0,72.9,0.31,0.209,0.355,0.31,0,0.793,5,0,21.3,0.2961,LOW,10.8
W01334,Zepto,Quick_Commerce,Navi_Mumbai,33,20,3.6,1562.0,113.3,0.282,0.365,0.476,0.391,2,0.675,11,1,24.2,0.4139,MEDIUM,11.47
W01335,Ola,Ride_Hailing,Bengaluru,29,94,5.0,1169.0,106.5,0.498,0.13,0.309,0.326,1,0.89,18,1,26.1,0.3548,MEDIUM,10.82
W01336,Amazon,Courier,Hyderabad,35,9,4.2,1359.0,52.6,0.643,0.756,0.289,0.035,0,0.728,23,0,37.6,0.4186,MEDIUM,12.85
W01337,Blinkit,Quick_Commerce,Thane,33,92,6.9,951.0,129.0,0.12,0.589,0.506,0.37,0,0.706,15,1,52.2,0.4234,MEDIUM,11.04
W01338,Uber,Ride_Hailing,Delhi,37,9,3.8,1861.0,59.7,0.597,0.343,0.503,0.154,0,0.819,26,0,48.6,0.3817,MEDIUM,12.55
W01339,Zepto,Delivery,Mumbai,24,47,8.6,1184.0,45.6,0.565,0.132,0.006,0.238,2,0.8,6,0,41.2,0.3094,LOW,10.53
W01340,Uber,Courier,Pune,23,56,7.1,1812.0,121.9,0.25,0.399,0.292,0.189,0,0.744,14,0,39.1,0.3511,MEDIUM,11.67
W01341,Ola,Ride_Hailing,Hyderabad,55,11,9.0,762.0,64.3,0.521,0.194,0.452,0.508,3,0.859,27,0,9.1,0.448,MEDIUM,10.11
W01342,Swiggy,Delivery,Hyderabad,46,86,12.9,1084.0,88.4,0.388,0.347,0.377,0.248,1,0.665,14,0,23.3,0.4252,MEDIUM,12.26
W01343,Swiggy,Courier,Thane,31,92,12.9,1475.0,39.9,0.259,0.557,0.286,0.199,1,0.652,17,1,25.1,0.381,MEDIUM,12.8
W01344,Blinkit,Delivery,Delhi,50,22,7.2,1150.0,72.2,0.315,0.449,0.366,0.179,1,0.644,25,0,38.2,0.3761,MEDIUM,11.21
W01345,Zomato,Delivery,Mumbai,48,22,6.7,1281.0,81.0,0.481,0.65,0.448,0.429,0,0.695,23,2,17.7,0.478,MEDIUM,12.8
W01346,Amazon,Ride_Hailing,Thane,44,73,9.8,758.0,71.3,0.192,0.428,0.382,0.358,1,0.94,11,1,18.8,0.3627,MEDIUM,9.94
W01347,Zepto,Delivery,Bengaluru,45,36,6.7,958.0,67.0,0.135,0.31,0.257,0.214,1,0.869,20,2,41.1,0.2713,LOW,8.82
W01348,Blinkit,Ride_Hailing,Delhi,54,4,10.8,794.0,86.4,0.578,0.569,0.287,0.527,0,0.789,18,1,18.9,0.491,MEDIUM,13.22
W01349,Zepto,Delivery,Navi_Mumbai,49,73,9.0,1070.0,119.7,0.036,0.406,0.545,0.202,1,0.536,14,2,32.4,0.3943,MEDIUM,12.25
W01350,Blinkit,Delivery,Hyderabad,27,34,5.0,1034.0,52.0,0.251,0.387,0.148,0.405,1,0.727,20,0,8.0,0.304,LOW,10.6
W01351,Swiggy,Delivery,Bengaluru,45,40,7.1,915.0,10.0,0.435,0.616,0.412,0.346,0,0.44,8,0,15.2,0.4211,MEDIUM,11.32
W01352,Uber,Delivery,Mumbai,24,63,11.6,1321.0,128.4,0.134,0.373,0.104,0.137,1,0.845,11,0,28.9,0.3211,LOW,11.26
W01353,Ola,Courier,Mumbai,37,56,8.5,727.0,62.0,0.128,0.598,0.45,0.148,0,0.643,19,0,23.7,0.3611,MEDIUM,12.08
W01354,Amazon,Ride_Hailing,Delhi,20,80,10.1,350.0,64.9,0.225,0.369,0.493,0.424,1,0.797,23,0,31.8,0.3964,MEDIUM,10.74
W01355,Zomato,Ride_Hailing,Hyderabad,24,77,10.1,900.0,65.9,0.022,0.472,0.555,0.018,1,0.621,13,1,29.0,0.3474,MEDIUM,10.44
W01356,Ola,Ride_Hailing,Thane,45,91,7.8,1853.0,38.5,0.087,,0.143,0.114,1,0.654,16,0,30.1,0.2953,LOW,10.52
W01357,Uber,Quick_Commerce,Pune,32,89,6.0,1278.0,71.2,0.626,0.589,0.332,0.09,1,0.692,24,1,33.7,0.4404,MEDIUM,11.56
W01358,Swiggy,Delivery,Bengaluru,24,61,9.0,804.0,75.2,0.394,0.775,0.493,0.493,0,0.33,22,0,39.9,0.5378,MEDIUM,12.62
W01359,Swiggy,Delivery,Hyderabad,55,54,4.1,1256.0,100.2,0.396,0.626,0.113,0.331,0,0.865,30,1,38.8,0.3648,MEDIUM,11.92
W01360,Uber,Quick_Commerce,Delhi,53,45,9.0,1053.0,65.8,0.149,0.629,0.563,0.407,0,0.653,28,1,40.0,0.4278,MEDIUM,11.72
W01361,Swiggy,Ride_Hailing,Hyderabad,26,64,4.0,1236.0,10.0,0.564,0.558,0.196,0.143,1,0.552,15,0,35.1,0.3601,MEDIUM,11.96
W01362,Swiggy,Quick_Commerce,Hyderabad,40,6,12.0,1408.0,38.2,0.229,0.689,0.221,0.383,1,0.797,18,0,25.5,0.3958,MEDIUM,10.45
